rowid,kepid,kepoi_name,fold,actual,lightgbm_balanced_candidate,lightgbm_balanced_confirmed,lightgbm_balanced_false_positive,catboost_balanced_candidate,catboost_balanced_confirmed,catboost_balanced_false_positive,blended_candidate,blended_confirmed,blended_false_positive,predicted,correct
1,10797460,K00752.01,3,CONFIRMED,0.0001383587609640289,0.9998416618413444,1.99793976916299e-05,0.010699312820367183,0.9878541703597779,0.0014465168198550039,0.003978705691656085,0.9954825740298656,0.0005387202784783114,CONFIRMED,True
2,10797460,K00752.02,3,CONFIRMED,0.0038258448716739757,0.9960621432408066,0.0001120118875194776,0.03580717692148305,0.9614080190235976,0.002784804054919227,0.015455420162513642,0.9834606435254578,0.0010839363120284777,CONFIRMED,True
3,10811496,K00753.01,2,CANDIDATE,0.6666123659606195,0.0018222359425557248,0.3315653980968249,0.7502526914447776,0.03585894447699978,0.21388836407822262,0.6970270297730407,0.014199220864171745,0.2887737493627877,CANDIDATE,True
4,10848459,K00754.01,4,FALSE POSITIVE,0.001659759364613359,0.0005856135517588492,0.9977546270836278,0.04872806525303047,0.020778665932135745,0.9304932688148339,0.0187755069604014,0.007928541690077721,0.9732959513495208,FALSE POSITIVE,True
5,10854555,K00755.01,3,CONFIRMED,0.0035966184685601054,0.9957977313920496,0.0006056501393902655,0.06458227348569426,0.9234264127463854,0.011991313767920344,0.02577322029297253,0.9694808882481717,0.004745891458855749,CONFIRMED,True
6,10872983,K00756.01,5,CONFIRMED,0.00033438361618809485,0.9996020474317004,6.35689521114133e-05,0.021967809719371068,0.9720606656518831,0.005971524628745938,0.00820108401734554,0.9895869995117669,0.002211916470887605,CONFIRMED,True
7,10872983,K00756.02,5,CONFIRMED,0.0003802094862431328,0.9995193014131176,0.00010048910063923095,0.010846104904321545,0.9854801310856058,0.003673764010072544,0.004185989638271647,0.9944141485667497,0.0013998617949786173,CONFIRMED,True
8,10872983,K00756.03,5,CONFIRMED,0.005385189683779426,0.9943860685137468,0.0002287418024738493,0.04057563165453422,0.9474148209036111,0.012009547441854765,0.018181714036781173,0.9773056148373338,0.0045126711258850925,CONFIRMED,True
9,6721123,K00114.01,2,FALSE POSITIVE,0.00020998416171942605,6.006505663435308e-05,0.9997299507816462,0.009515858881274786,0.0020058174110769464,0.9884783237076483,0.0035939386051941024,0.0007676113673407507,0.9956384500274651,FALSE POSITIVE,True
10,10910878,K00757.01,2,CONFIRMED,0.00037803788123342945,0.9996046570616833,1.7305057083219222e-05,0.014588835447040524,0.9838632496050403,0.0015479149479191634,0.005545600632436009,0.9938805088956313,0.0005738904719326535,CONFIRMED,True
11,11446443,K00001.01,2,CONFIRMED,0.004225670676259901,0.9868537531890025,0.008920576134737606,0.07330343100313733,0.8533238724618082,0.07337269653505457,0.029344856249669878,0.9382974329245681,0.032357710825761964,CONFIRMED,True
12,10666592,K00002.01,3,CONFIRMED,0.0024188272485550955,0.028199832095446603,0.9693813406559983,0.057319742722690324,0.07468170550980426,0.8679985517675054,0.022382796511877003,0.04510233151884939,0.9325148719692736,FALSE POSITIVE,False
13,6922244,K00010.01,2,CONFIRMED,0.014048527529545041,0.9484756634059542,0.03747580906450086,0.08076580717091741,0.80044548227057,0.11878871055851267,0.038309356490044084,0.8946465066294508,0.06704413688050515,CONFIRMED,True
14,10984090,K00112.02,2,CONFIRMED,0.0003584438053281801,0.9995935780060404,4.797818863136762e-05,0.012112981580908457,0.9854839853306411,0.0024030330884504624,0.004632821178266463,0.994462817033168,0.0009043617885655842,CONFIRMED,True
